id,status,grandTotal,user_id,storeId
170,complete,360.0,3764,44
171,complete,600.0,5233,3
172,complete,600.0,1854,44
173,complete,600.0,6586,7
174,canceled,350.0,1292,25
175,order_refunded,350.0,3582,35
176,complete,600.0,7555,3
177,complete,600.0,7281,45
178,complete,600.0,1637,6
179,order_refunded,760.0,3697,2
180,complete,360.0,699,22
181,order_refunded,360.0,4738,5
182,complete,280.0,855,47
183,order_refunded,760.0,8165,43
184,complete,600.0,5856,17
185,complete,600.0,7393,33
186,complete,600.0,6529,11
187,complete,360.0,5250,49
188,order_refunded,760.0,5173,30
189,complete,360.0,1708,27
190,complete,360.0,5792,47
191,complete,360.0,9926,21
192,complete,360.0,5536,25
193,complete,320.0,4932,45
194,complete,360.0,3511,10
195,complete,240.0,203,28
196,complete,150.0,4219,21
197,canceled,16460.0,8959,7
198,complete,599.0,4390,7
199,complete,599.0,2328,12
200,complete,360.0,8005,32
201,complete,360.0,2932,18
202,complete,155.0,7778,4
203,complete,155.0,198,41
204,complete,360.0,7126,43
205,complete,360.0,1931,19
206,complete,120.0,6288,32
207,complete,360.0,8801,22
208,complete,360.0,9340,28
209,complete,150.0,4283,28
210,complete,150.0,2512,31
211,complete,360.0,9987,32
212,complete,250.0,660,32
213,complete,360.0,2812,24
214,complete,25999.0,7099,5
215,complete,920.0,6547,24
216,complete,920.0,9562,23
217,complete,920.0,1987,19
218,complete,360.0,8339,12
219,order_refunded,3900.0,2912,15
220,complete,360.0,1735,31
221,complete,3600.0,1844,34
222,complete,360.0,8681,24
223,complete,360.0,2977,35
224,order_refunded,450.0,1960,2
225,complete,360.0,5760,32
226,complete,700.0,6695,34
227,complete,168.0,2386,25
228,complete,168.0,4737,44
229,complete,168.0,1803,18
230,complete,360.0,8156,40
231,canceled,450.0,8121,37
232,complete,360.0,6617,13
233,complete,360.0,5535,46
234,complete,360.0,4062,7
235,complete,140.0,263,15
236,complete,350.0,6288,28
237,canceled,450.0,8816,31
238,canceled,900.0,9209,20
239,canceled,900.0,2050,8
240,complete,1050.0,5424,43
241,canceled,3750.0,4549,17
242,canceled,2.0,3109,24
243,complete,455.0,7159,42
244,canceled,425.0,7401,2
245,complete,2670.0,3171,31
246,order_refunded,10740.0,9875,41
247,complete,740.0,2256,46
248,complete,740.0,1155,30
249,complete,740.0,4500,33
250,refund,1399.0,6296,45
251,refund,1399.0,6198,5
252,refund,1399.0,9889,24
253,complete,480.0,1649,48
254,complete,1000.0,5540,17
255,order_refunded,4530.0,9638,24
256,order_refunded,1890.0,4200,23
257,complete,80.0,8446,5
258,order_refunded,170.0,2558,10
259,order_refunded,8.0,5593,6
260,order_refunded,8.0,99,43
261,order_refunded,8.0,2201,29
262,order_refunded,1350.0,2962,46
263,order_refunded,2490.0,4974,38
264,order_refunded,1650.0,4434,23
265,canceled,1870.0,2870,38
266,refund,2050.0,957,27
267,complete,0.0,8353,11
268,complete,360.0,5700,33
269,complete,2160.0,6945,9
270,complete,975.0,4494,13
271,complete,975.0,9493,43
272,complete,975.0,4912,5
273,complete,975.0,3988,34
274,complete,320.0,9720,7
275,complete,1099.0,6016,24
276,complete,240.0,1219,23
277,complete,720.0,4497,32
278,complete,640.0,4736,4
279,canceled,3290.0,4556,3
280,complete,480.0,9147,38
281,complete,360.0,8051,18
282,complete,320.0,3447,44
283,complete,360.0,1046,27
284,complete,320.0,6894,43
285,complete,1013.0,1694,27
286,complete,1013.0,3437,45
287,complete,1013.0,8755,14
288,complete,1013.0,5896,6
289,complete,1013.0,3355,33
290,complete,1013.0,226,4
291,complete,150.0,4894,46
292,complete,360.0,7023,12
293,complete,320.0,9152,42
294,complete,360.0,5601,45
295,complete,360.0,7997,13
296,complete,360.0,9008,9
297,complete,360.0,7684,36
298,complete,360.0,4643,21
299,complete,360.0,7680,44
300,complete,700.0,8209,22
301,complete,360.0,7340,38
302,complete,700.0,9436,6
303,order_refunded,320.0,2206,44
304,complete,350.0,1070,11
305,complete,320.0,3445,1
306,complete,360.0,1061,4
307,order_refunded,320.0,2328,21
308,complete,360.0,3421,24
309,complete,360.0,302,14
310,complete,480.0,607,7
311,complete,323.0,3171,43
312,complete,323.0,700,13
313,complete,360.0,5089,39
314,complete,0.0,9332,3
315,complete,1065.0,191,1
316,complete,240.0,981,3
317,complete,240.0,2976,13
318,complete,999.0,6103,12
319,order_refunded,55850.0,1185,21
320,complete,6500.0,3328,30
321,order_refunded,399.0,3395,46
322,order_refunded,42860.0,8320,3
323,complete,360.0,1817,44
324,complete,320.0,5855,3
325,complete,240.0,6710,37
326,canceled,3250.0,570,11
327,complete,775.0,5443,23
328,complete,320.0,1896,9
329,complete,360.0,2734,3
330,complete,320.0,3864,19
331,complete,240.0,7456,36
332,complete,360.0,4015,15
333,order_refunded,320.0,1687,16
334,complete,280.0,3010,30
335,complete,1647.0,7807,47
336,complete,240.0,155,26
337,complete,360.0,1410,36
338,complete,360.0,785,23
339,complete,360.0,8097,4
340,order_refunded,320.0,7561,35
341,complete,320.0,7344,14
342,complete,165.0,7207,36
343,complete,360.0,5597,34
344,order_refunded,350.0,5802,42
345,complete,320.0,2807,46
346,order_refunded,512.0,538,5
347,complete,360.0,5987,25
348,complete,360.0,1842,26
349,complete,360.0,8717,40
350,canceled,330.0,6972,35
351,complete,640.0,5626,18
352,order_refunded,330.0,2951,29
353,canceled,1950.0,7993,20
354,complete,360.0,4781,28
355,complete,144.0,2369,28
356,order_refunded,285.0,6656,1
357,complete,350.0,8174,6
358,complete,3250.0,4496,1
359,canceled,375.0,9164,8
360,complete,180.0,6003,31
361,canceled,1725.0,6615,37
362,complete,1330.0,9359,42
363,canceled,5200.0,5920,35
364,canceled,1350.0,854,29
365,canceled,1350.0,4147,36
366,complete,360.0,3770,49
367,canceled,1350.0,575,6
368,complete,360.0,1149,2
369,complete,360.0,6294,35
370,order_refunded,8150.0,6458,31
371,complete,360.0,7510,16
372,complete,360.0,9908,47
373,complete,360.0,4778,23
374,canceled,3749.0,3855,24
375,canceled,3749.0,2492,17
376,complete,360.0,3125,3
377,canceled,8150.0,5692,41
378,canceled,17790.0,3052,36
379,canceled,17790.0,5,1
380,complete,360.0,5223,20
381,complete,360.0,5316,22
382,complete,360.0,4870,3
383,complete,360.0,877,11
384,complete,360.0,9184,44
385,complete,320.0,7028,19
386,canceled,428.0,4143,6
387,complete,360.0,6967,43
388,canceled,1160.0,7080,38
389,canceled,1160.0,7988,46
390,complete,360.0,6800,38
391,complete,360.0,4466,28
392,complete,360.0,636,9
393,refund,1765.0,1694,46
394,complete,320.0,9875,2
395,complete,320.0,4753,48
396,complete,320.0,8312,18
397,complete,320.0,831,32
398,complete,320.0,5178,7
399,complete,320.0,9562,35
400,complete,240.0,8933,19
401,complete,320.0,8309,3
402,complete,320.0,5950,24
403,complete,240.0,2839,23
404,complete,80.0,1151,13
405,order_refunded,2559.0,7561,6
406,order_refunded,2559.0,1932,28
407,complete,1049.0,9205,44
408,complete,1049.0,1665,49
409,complete,1049.0,1082,5
410,order_refunded,520.0,513,48
411,order_refunded,24499.0,7806,12
412,complete,700.0,5238,43
413,canceled,540.0,560,11
414,complete,1370.0,3673,45
415,complete,1370.0,7405,43
416,order_refunded,999.0,3344,44
417,canceled,2508.0,4071,17
418,canceled,2508.0,9663,10
419,complete,1100.0,581,27
420,canceled,140.0,7005,47
421,canceled,144.0,8131,12
422,order_refunded,1199.0,3148,13
423,canceled,1295.0,4250,26
424,complete,800.0,1680,9
425,complete,800.0,3507,12
426,order_refunded,320.0,7254,19
427,complete,640.0,2745,18
428,complete,360.0,9436,34
429,complete,240.0,5189,13
430,complete,320.0,2142,45
431,complete,240.0,6618,31
432,complete,240.0,2480,33
433,complete,240.0,6485,32
434,complete,240.0,9828,21
435,complete,240.0,7422,27
436,complete,240.0,9950,30
437,complete,240.0,4453,33
438,complete,655.0,5882,36
439,canceled,5997.0,6666,47
440,complete,240.0,2850,25
441,canceled,5445.0,7391,25
442,canceled,5445.0,6906,28
443,canceled,2499.0,2490,27
444,canceled,37550.0,9824,8
445,complete,2880.0,9208,37
446,complete,1335.0,9541,31
447,order_refunded,680.0,4612,28
448,complete,360.0,2840,22
449,complete,360.0,8528,44
450,complete,190.0,5879,11
451,complete,360.0,9088,8
452,complete,360.0,6304,24
453,canceled,510.0,852,29
454,complete,360.0,1688,41
455,complete,350.0,6834,4
456,complete,100.0,2428,30
457,complete,320.0,9761,38
458,complete,140.0,4001,32
459,canceled,88999.0,5053,21
460,order_refunded,490.0,2739,19
461,complete,370.0,5733,43
462,complete,310.0,5388,34
463,complete,310.0,8003,35
464,canceled,564.0,5537,46
465,complete,6500.0,3914,11
466,refund,1913.0,1067,15
467,refund,1913.0,7724,29
468,complete,165.0,4381,3
469,complete,165.0,4108,36
470,complete,165.0,5727,28
471,complete,165.0,3374,21
472,complete,180.0,8946,25
473,complete,635.0,2083,3
474,complete,635.0,8968,1
475,complete,3975.0,6749,41
476,canceled,1269.0,9818,4
477,canceled,1269.0,418,33
478,complete,360.0,8307,23
479,order_refunded,320.0,8809,15
480,canceled,280.0,3975,7
481,order_refunded,2950.0,3268,19
482,complete,3000.0,826,40
483,canceled,280.0,7669,29
484,complete,994.0,5746,37
485,canceled,899.0,9709,11
486,complete,360.0,413,38
487,complete,360.0,7544,35
488,complete,240.0,7588,36
489,complete,240.0,729,45
490,canceled,4060.0,7165,16
491,canceled,4060.0,8868,35
492,canceled,4060.0,5989,40
493,canceled,45215.0,2505,38
494,canceled,4810.0,2968,36
495,canceled,4810.0,2787,48
496,canceled,4810.0,1123,47
497,canceled,4810.0,4080,6
498,canceled,4810.0,1572,38
499,canceled,4810.0,5074,26
500,canceled,4810.0,5105,12
501,canceled,4810.0,2144,48
502,canceled,4810.0,9880,46
503,order_refunded,1980.0,6807,33
504,order_refunded,699.0,7358,34
505,canceled,699.0,3441,1
506,complete,250.0,3767,12
507,complete,250.0,5645,45
508,complete,250.0,2915,19
509,complete,1200.0,4969,18
510,complete,240.0,5918,26
511,complete,529.0,8788,42
512,complete,529.0,729,18
513,complete,2400.0,1366,5
514,complete,240.0,4493,24
515,canceled,375.0,699,9
516,complete,375.0,7187,3
517,order_refunded,999.0,396,41
518,complete,1765.0,7401,44
519,complete,235.0,8083,11
520,complete,100.0,4172,11
521,canceled,1050.0,4361,8
522,complete,180.0,2503,20
523,complete,180.0,718,44
524,complete,0.0,2783,28
525,complete,639.0,4947,39
526,complete,1080.0,5487,25
527,complete,799.0,8336,34
528,complete,5597.0,4981,7
529,complete,15.0,7267,35
530,complete,1050.0,4492,30
531,complete,1315.0,7193,45
532,complete,320.0,5589,23
533,complete,360.0,7652,39
534,complete,320.0,3637,41
535,complete,240.0,1168,21
536,complete,5950.0,1063,35
537,complete,320.0,2157,16
538,complete,540.0,7861,48
539,complete,540.0,5162,9
540,complete,100.0,5306,16
541,order_refunded,3900.0,6542,16
542,canceled,1798.0,4730,5
543,canceled,2200.0,9349,48
544,canceled,1998.0,7331,7
545,complete,149.0,5335,41
546,canceled,1598.0,8925,2
547,complete,150.0,4331,4
548,canceled,495.0,8011,35
549,complete,33685.0,6802,12
550,complete,320.0,4847,17
551,complete,320.0,6732,5
552,canceled,1035.0,7242,21
553,canceled,1035.0,954,31
554,canceled,1035.0,2540,3
555,canceled,25999.0,7057,40
556,complete,210.0,1543,49
557,order_refunded,0.0,5294,20
558,complete,2600.0,1192,22
559,complete,2600.0,6314,43
560,complete,2600.0,6939,37
561,complete,2600.0,2682,26
562,canceled,2950.0,9410,49
563,canceled,220.0,1541,8
564,complete,4250.0,6173,40
565,canceled,4000.0,5542,3
566,canceled,4000.0,9581,39
567,canceled,96499.0,1366,5
568,canceled,48000.0,8692,40
569,canceled,2600.0,9873,45
570,canceled,1499.0,8703,28
571,canceled,55850.0,7495,31
572,canceled,48000.0,4313,47
573,complete,795.0,1325,49
574,complete,55850.0,9348,5
575,canceled,48000.0,3142,12
576,canceled,80000.0,7420,8
577,complete,480.0,3487,18
578,order_refunded,480.0,1811,24
579,order_refunded,1700.0,6589,31
580,canceled,12525.1,2924,19
581,canceled,12525.1,5302,42
582,canceled,12525.1,4187,15
583,order_refunded,9885.0,8906,28
584,order_refunded,9885.0,5978,18
585,order_refunded,9885.0,4269,30
586,canceled,5342.98,4749,37
587,canceled,2995.0,4850,35
588,order_refunded,1148.0,9436,5
589,canceled,999.0,3710,26
590,complete,190.0,9274,24
591,canceled,630.0,6620,39
592,canceled,630.0,8648,24
593,order_refunded,725.0,9087,6
594,complete,240.0,9577,28
595,complete,170.0,3073,15
596,complete,120.0,6531,29
597,complete,120.0,505,38
598,complete,170.0,1215,39
599,complete,350.0,1532,36
600,canceled,8760.0,7577,43
601,canceled,20104.0,824,19
602,canceled,20500.0,929,17
603,complete,264.0,5030,26
604,complete,264.0,134,12
605,complete,144.0,2106,47
606,complete,120.0,3628,26
607,complete,180.0,6317,27
608,canceled,3070.0,1853,30
609,complete,1200.0,4911,44
610,order_refunded,320.0,4176,20
611,order_refunded,19370.0,5349,45
612,canceled,48000.0,9443,41
613,complete,350.0,6191,10
614,complete,250.0,1257,4
615,complete,180.0,3377,43
616,canceled,4530.0,5646,2
617,complete,999.0,3487,16
618,complete,1099.0,3585,5
619,complete,3150.0,9589,27
620,order_refunded,3100.0,8054,15
621,order_refunded,72350.0,3331,21
622,complete,1600.0,2704,10
623,complete,0.0,8663,13
624,canceled,1690.0,8121,21
625,order_refunded,25999.0,7115,1
626,canceled,510.0,1354,30
627,complete,2340.0,5064,1
628,complete,320.0,8550,7
629,canceled,495.0,7576,46
630,complete,760.0,668,9
631,complete,600.0,4469,23
632,complete,760.0,9338,5
633,complete,760.0,6820,11
634,complete,640.0,3720,35
635,complete,435.0,2746,15
636,canceled,540.0,7484,3
637,canceled,540.0,540,7
638,canceled,20890.0,4965,47
639,complete,1790.0,4836,25
640,complete,1790.0,3776,41
641,complete,1790.0,6043,46
642,order_refunded,30205.0,7103,32
643,complete,320.0,7313,34
644,complete,320.0,5321,15
645,order_refunded,1375.0,6133,2
646,complete,30205.0,7892,8
647,order_refunded,510.0,2780,26
648,complete,1.0,925,6
649,canceled,2070.0,1582,11
650,order_refunded,3200.0,7715,49
651,order_refunded,3200.0,3325,19
652,complete,0.0,5714,37
653,canceled,7977.8,7027,39
654,canceled,7977.8,256,3
655,canceled,7977.8,4805,23
656,canceled,7977.8,1839,20
657,canceled,7977.8,10,1
658,canceled,7977.8,2872,21
659,canceled,7977.8,8990,39
660,canceled,7977.8,7410,12
661,canceled,7977.8,7419,6
662,complete,775.0,5125,23
663,canceled,11527.0,1016,23
664,canceled,11527.0,2194,24
665,canceled,11527.0,8416,41
666,canceled,11527.0,7450,14
667,complete,350.0,4159,26
668,complete,240.0,3926,22
669,order_refunded,1850.0,6971,38
670,canceled,11527.0,6939,40
671,canceled,11527.0,4785,30
672,canceled,11527.0,4001,1
673,canceled,11527.0,1634,12
674,complete,90.0,7267,22
675,complete,80.0,8703,40
676,order_refunded,4380.0,385,1
677,complete,170.0,405,35
678,complete,180.0,8176,33
679,complete,170.0,2001,33
680,complete,90.0,9861,2
681,canceled,925.0,5990,30
682,complete,150.0,1461,12
683,complete,150.0,7191,12
684,complete,0.0,7141,40
685,complete,1160.0,3637,37
686,complete,150.0,4810,36
687,complete,0.0,4179,18
688,complete,0.0,7246,14
689,complete,0.0,6601,4
690,complete,0.0,5998,14
691,complete,0.0,2049,42
692,complete,150.0,4781,12
693,complete,890.0,717,3
694,canceled,210.0,7940,41
695,complete,990.0,5566,25
696,canceled,700.0,4545,9
697,canceled,260.0,4977,1
698,complete,180.0,3420,46
699,complete,1999.0,7240,12
700,complete,260.0,9767,17
701,complete,350.0,250,39
702,complete,350.0,8866,42
703,complete,350.0,771,42
704,canceled,6400.0,4364,33
705,complete,90.0,1078,21
706,complete,80.0,8428,1
707,complete,2799.0,8581,47
708,complete,2799.0,7902,24
709,complete,370.0,4859,45
710,complete,240.0,6545,37
711,order_refunded,2950.0,4720,10
712,complete,320.0,2815,8
713,complete,180.0,3375,48
714,order_refunded,90.0,1253,38
715,complete,75.0,6997,24
716,order_refunded,999.0,4674,44
717,order_refunded,8420.0,4531,32
718,complete,1160.0,6882,38
719,complete,1160.0,6950,4
720,complete,1160.0,9522,39
721,complete,1160.0,6242,25
722,complete,1160.0,8018,49
723,complete,1160.0,6942,23
724,complete,1300.0,9551,31
725,complete,785.0,7003,3
726,complete,785.0,1332,37
727,complete,785.0,4262,39
728,complete,630.0,7649,27
729,complete,1300.0,9551,1
730,complete,150.0,5116,40
731,complete,2425.0,4638,39
732,complete,2425.0,4855,31
733,order_refunded,1628.0,3178,42
734,order_refunded,1628.0,7731,25
735,order_refunded,1628.0,2181,27
736,complete,74.0,4893,26
737,complete,626.0,7044,12
738,order_refunded,2465.0,138,19
739,complete,1950.0,6328,25
740,canceled,570.0,3473,3
741,order_refunded,890.0,5450,25
742,complete,570.0,2833,38
743,canceled,510.0,3580,29
744,canceled,8140.0,5972,20
745,canceled,8140.0,4165,20
746,canceled,8140.0,7942,43
747,order_refunded,495.0,5570,42
748,complete,25999.0,4301,48
749,complete,200.0,6270,19
750,order_refunded,3050.0,3819,13
751,canceled,1870.0,1907,9
752,canceled,6900.0,6255,7
753,complete,150.0,761,9
754,complete,80.0,7831,6
755,order_refunded,140.0,7351,44
756,order_refunded,9500.0,6239,1
757,complete,80.0,6091,16
758,complete,160.0,6032,26
759,complete,320.0,7688,35
760,complete,480.0,9092,7
761,complete,480.0,9912,25
762,canceled,13999.0,8473,2
763,complete,90.0,1888,16
764,canceled,4180.0,3267,49
765,canceled,51999.0,667,34
766,complete,1020.0,4189,17
767,complete,325.0,672,18
768,complete,510.0,6778,34
769,complete,1099.0,7571,8
770,complete,99.0,7957,37
771,complete,470.0,5125,37
772,complete,470.0,5586,20
773,complete,470.0,4778,20
774,complete,899.0,3901,34
775,order_refunded,2253.0,6678,1
776,canceled,16999.0,6982,23
777,order_refunded,1375.0,6377,8
778,complete,860.0,524,4
779,complete,860.0,2394,20
780,canceled,775.0,2594,15
781,order_refunded,1799.0,9946,29
782,complete,240.0,7241,6
783,canceled,350.0,6938,32
784,complete,1395.0,6191,37
785,canceled,350.0,5241,10
786,complete,1205.0,6494,8
787,complete,1205.0,2879,10
788,complete,1205.0,4144,34
789,complete,1205.0,3645,38
790,complete,1205.0,4433,2
791,complete,0.0,1277,38
792,complete,0.0,5812,32
793,complete,0.0,303,11
794,complete,1099.0,639,39
795,canceled,5040.0,56,45
796,canceled,5040.0,8718,8
797,canceled,5040.0,8151,35
798,canceled,5040.0,2126,29
799,complete,6900.0,365,7
800,complete,1499.0,6810,17
801,complete,160.0,4622,16
802,complete,510.0,5127,47
803,complete,1050.0,5123,7
804,complete,140.0,1647,41
805,complete,800.0,919,34
806,order_refunded,330.0,2798,24
807,order_refunded,330.0,6507,22
808,complete,120.0,5871,37
809,order_refunded,2299.0,1532,12
810,complete,2400.0,8173,16
811,canceled,894.0,3346,43
812,canceled,894.0,7674,46
813,complete,1765.0,6950,27
814,complete,1293.0,6883,28
815,complete,1293.0,1907,3
816,complete,1293.0,3087,42
817,order_refunded,6900.0,8153,14
818,complete,350.0,5751,41
819,canceled,870.0,8906,30
820,canceled,870.0,1063,26
821,canceled,870.0,1977,14
822,canceled,9353.02,1297,3
823,canceled,1040.0,6230,21
824,canceled,1040.0,7642,39
825,canceled,1040.0,126,33
826,canceled,1040.0,4633,37
827,canceled,1040.0,6289,27
828,complete,350.0,3597,43
829,complete,203.0,6169,10
830,canceled,203.0,9796,31
831,complete,29000.0,7562,13
832,order_refunded,7930.0,8259,45
833,order_refunded,925.0,233,11
834,order_refunded,3070.0,9362,28
835,order_refunded,165.0,6372,14
836,complete,320.0,4207,47
837,order_refunded,800.0,9686,19
838,order_refunded,6700.0,7944,9
839,order_refunded,550.0,6892,44
840,complete,280.0,6739,9
841,canceled,6900.0,2473,23
842,canceled,22824.0,2740,13
843,canceled,22824.0,5402,15
844,canceled,22824.0,1762,2
845,canceled,22824.0,877,26
846,canceled,22824.0,3813,5
847,canceled,22824.0,9505,16
848,canceled,22824.0,1461,32
849,canceled,22824.0,1734,32
850,canceled,22824.0,1606,24
851,canceled,22824.0,5623,26
852,canceled,22824.0,6768,9
853,canceled,22824.0,6987,29
854,canceled,6900.0,3518,46
855,canceled,3750.0,3736,26
856,canceled,20987.0,9353,16
857,canceled,20987.0,8435,46
858,canceled,20987.0,2591,21
859,canceled,20987.0,1064,22
860,canceled,20987.0,4325,16
861,canceled,20987.0,9112,6
862,canceled,20987.0,5343,39
863,canceled,20987.0,6,18
864,canceled,20987.0,7490,6
865,canceled,20987.0,8660,15
866,canceled,20987.0,8196,49
867,canceled,20987.0,5967,8
868,canceled,14995.0,8838,7
869,canceled,14995.0,118,42
870,canceled,14995.0,2552,24
871,canceled,14995.0,5561,6
872,canceled,14995.0,4290,10
873,canceled,14995.0,847,17
874,canceled,14995.0,6317,24
875,canceled,14995.0,6470,40
876,canceled,14995.0,9334,37
877,canceled,14995.0,8916,4
878,canceled,14995.0,225,10
879,complete,360.0,4209,49
880,complete,120.0,6284,47
881,order_refunded,799.0,2049,37
882,complete,2700.0,6234,4
883,complete,2700.0,9766,20
884,complete,350.0,1829,45
885,complete,425.0,1918,35
886,canceled,144.0,4235,42
887,complete,360.0,6989,40
888,complete,0.0,2027,5
889,order_refunded,120.0,3745,17
890,order_refunded,350.0,9094,44
891,complete,320.0,10,7
892,canceled,350.0,261,3
893,complete,1150.0,6039,12
894,complete,1150.0,9866,45
895,order_refunded,3299.0,2220,46
896,canceled,3299.0,7042,10
897,complete,320.0,2061,30
898,complete,1200.0,5288,7
899,complete,1175.0,1620,34
900,order_refunded,99.0,8513,28
901,complete,4200.0,1343,28
902,complete,605.0,2833,15
903,complete,605.0,2825,15
904,complete,605.0,1995,9
905,canceled,240.0,3491,17
906,canceled,240.0,9311,8
907,canceled,240.0,7985,35
908,complete,80.0,1605,13
909,complete,90.0,236,35
910,complete,680.0,1909,48
911,complete,1435.0,8568,20
912,complete,1435.0,3531,3
913,complete,1435.0,5257,20
914,complete,1435.0,2636,22
915,complete,1435.0,8163,13
916,canceled,160.0,9763,34
917,canceled,160.0,2561,23
918,canceled,1019.0,5416,34
919,complete,99.0,3392,36
920,complete,240.0,5952,2
921,complete,240.0,5469,16
922,complete,240.0,8008,45
923,complete,585.0,9065,48
924,canceled,1199.0,9445,30
925,complete,330.0,6414,26
926,order_refunded,425.0,6942,49
927,complete,1200.0,9507,49
928,refund,299.0,4821,23
929,canceled,5288.0,2899,13
930,canceled,5288.0,7547,26
931,canceled,5288.0,78,33
932,canceled,5288.0,7578,32
933,canceled,5288.0,4228,22
934,canceled,5288.0,601,1
