Customer ID,Gender,Age,City,Membership Type,Satisfaction Level
163,Female,42,Chicago,Bronze,Unsatisfied
164,Male,29,San Francisco,Gold,Satisfied
165,Male,26,Miami,Silver,Unsatisfied
166,Female,38,Houston,Bronze,Neutral
167,Female,32,New York,Gold,Satisfied
168,Male,34,Los Angeles,Silver,Neutral
169,Female,43,Chicago,Bronze,Unsatisfied
170,Male,30,San Francisco,Gold,Satisfied
171,Male,27,Miami,Silver,Unsatisfied
172,Female,37,Houston,Bronze,
173,Female,31,New York,Gold,Satisfied
174,Male,35,Los Angeles,Silver,Neutral
175,Female,41,Chicago,Bronze,Unsatisfied
176,Male,28,San Francisco,Gold,Satisfied
177,Male,32,Miami,Silver,Unsatisfied
178,Female,36,Houston,Bronze,Neutral
179,Female,30,New York,Gold,Satisfied
180,Male,34,Los Angeles,Silver,Neutral
181,Female,43,Chicago,Bronze,Unsatisfied
182,Male,30,San Francisco,Gold,Satisfied
183,Male,27,Miami,Silver,Unsatisfied
184,Female,37,Houston,Bronze,Neutral
185,Female,31,New York,Gold,Satisfied
186,Male,35,Los Angeles,Silver,Neutral
187,Female,41,Chicago,Bronze,Unsatisfied
188,Male,28,San Francisco,Gold,Satisfied
189,Male,32,Miami,Silver,Unsatisfied
190,Female,36,Houston,Bronze,Neutral
191,Female,30,New York,Gold,Satisfied
192,Male,33,Los Angeles,Silver,Satisfied
193,Female,42,Chicago,Bronze,Unsatisfied
194,Male,29,San Francisco,Gold,Satisfied
195,Male,26,Miami,Silver,Unsatisfied
196,Female,38,Houston,Bronze,Neutral
197,Female,32,New York,Gold,Satisfied
198,Male,34,Los Angeles,Silver,Neutral
199,Female,43,Chicago,Bronze,Unsatisfied
200,Male,30,San Francisco,Gold,Satisfied
201,Male,27,Miami,Silver,Unsatisfied
202,Female,37,Houston,Bronze,Neutral
203,Female,31,New York,Gold,Satisfied
204,Male,35,Los Angeles,Silver,Neutral
205,Female,41,Chicago,Bronze,Unsatisfied
206,Male,28,San Francisco,Gold,Satisfied
207,Male,32,Miami,Silver,Unsatisfied
208,Female,36,Houston,Bronze,Neutral
209,Female,30,New York,Gold,Satisfied
210,Male,34,Los Angeles,Silver,Neutral
211,Female,43,Chicago,Bronze,Unsatisfied
212,Male,30,San Francisco,Gold,Satisfied
213,Male,27,Miami,Silver,Unsatisfied
214,Female,37,Houston,Bronze,Neutral
215,Female,31,New York,Gold,Satisfied
216,Male,35,Los Angeles,Silver,Neutral
217,Female,41,Chicago,Bronze,Unsatisfied
218,Male,28,San Francisco,Gold,Satisfied
219,Male,32,Miami,Silver,Unsatisfied
220,Female,36,Houston,Bronze,Neutral
221,Female,30,New York,Gold,Satisfied
222,Male,33,Los Angeles,Silver,Satisfied
223,Female,42,Chicago,Bronze,Unsatisfied
224,Male,29,San Francisco,Gold,Satisfied
225,Male,26,Miami,Silver,Unsatisfied
226,Female,38,Houston,Bronze,Neutral
227,Female,32,New York,Gold,Satisfied
228,Male,34,Los Angeles,Silver,Neutral
229,Female,43,Chicago,Bronze,Unsatisfied
230,Male,30,San Francisco,Gold,Satisfied
231,Male,27,Miami,Silver,Unsatisfied
232,Female,37,Houston,Bronze,Neutral
233,Female,31,New York,Gold,Satisfied
234,Male,35,Los Angeles,Silver,Neutral
235,Female,41,Chicago,Bronze,Unsatisfied
236,Male,28,San Francisco,Gold,Satisfied
237,Male,32,Miami,Silver,Unsatisfied
238,Female,36,Houston,Bronze,Neutral
239,Female,30,New York,Gold,Satisfied
240,Male,34,Los Angeles,Silver,Neutral
241,Female,43,Chicago,Bronze,Unsatisfied
242,Male,30,San Francisco,Gold,Satisfied
243,Male,27,Miami,Silver,Unsatisfied
244,Female,37,Houston,Bronze,
245,Female,31,New York,Gold,Satisfied
246,Male,35,Los Angeles,Silver,Neutral
247,Female,41,Chicago,Bronze,Unsatisfied
248,Male,28,San Francisco,Gold,Satisfied
249,Male,32,Miami,Silver,Unsatisfied
250,Female,36,Houston,Bronze,Neutral
251,Female,30,New York,Gold,Satisfied
252,Male,34,Los Angeles,Silver,Neutral
253,Female,43,Chicago,Bronze,Unsatisfied
254,Male,30,San Francisco,Gold,Satisfied
255,Male,27,Miami,Silver,Unsatisfied
256,Female,37,Houston,Bronze,Neutral
257,Female,31,New York,Gold,Satisfied
258,Male,35,Los Angeles,Silver,Neutral
259,Female,41,Chicago,Bronze,Unsatisfied
260,Male,28,San Francisco,Gold,Satisfied
261,Male,32,Miami,Silver,Unsatisfied
262,Female,36,Houston,Bronze,Neutral
263,Female,30,New York,Gold,Satisfied
264,Male,33,Los Angeles,Silver,Satisfied
265,Female,42,Chicago,Bronze,Unsatisfied
266,Male,29,San Francisco,Gold,Satisfied
267,Male,26,Miami,Silver,Unsatisfied
268,Female,38,Houston,Bronze,Neutral
269,Female,32,New York,Gold,Satisfied
270,Male,34,Los Angeles,Silver,Neutral
271,Female,43,Chicago,Bronze,Unsatisfied
272,Male,30,San Francisco,Gold,Satisfied
273,Male,27,Miami,Silver,Unsatisfied
274,Female,37,Houston,Bronze,Neutral
275,Female,31,New York,Gold,Satisfied
276,Male,35,Los Angeles,Silver,Neutral
277,Female,41,Chicago,Bronze,Unsatisfied
278,Male,28,San Francisco,Gold,Satisfied
279,Male,32,Miami,Silver,Unsatisfied
280,Female,36,Houston,Bronze,Neutral
281,Female,30,New York,Gold,Satisfied
282,Male,34,Los Angeles,Silver,Neutral
283,Female,43,Chicago,Bronze,Unsatisfied
284,Male,30,San Francisco,Gold,Satisfied
285,Male,27,Miami,Silver,Unsatisfied
286,Female,37,Houston,Bronze,Neutral
287,Female,31,New York,Gold,Satisfied
288,Male,35,Los Angeles,Silver,Neutral
289,Female,41,Chicago,Bronze,Unsatisfied
290,Male,28,San Francisco,Gold,Satisfied
291,Male,32,Miami,Silver,Unsatisfied
292,Female,36,Houston,Bronze,Neutral
293,Female,30,New York,Gold,Satisfied
294,Male,33,Los Angeles,Silver,Satisfied
295,Female,42,Chicago,Bronze,Unsatisfied
296,Male,29,San Francisco,Gold,Satisfied
297,Male,26,Miami,Silver,Unsatisfied
298,Female,38,Houston,Bronze,Neutral
299,Female,32,New York,Gold,Satisfied
300,Male,34,Los Angeles,Silver,Neutral
301,Male,36,San Francisco,Gold,Satisfied
302,Female,29,Miami,Silver,Unsatisfied
303,Female,35,Houston,Bronze,Neutral
304,Male,31,New York,Gold,Satisfied
305,Male,27,Los Angeles,Silver,Neutral
306,Female,42,Chicago,Bronze,Unsatisfied
307,Male,29,San Francisco,Gold,Satisfied
308,Male,26,Miami,Silver,Unsatisfied
309,Female,38,Houston,Bronze,Neutral
310,Female,32,New York,Gold,Satisfied
311,Male,34,Los Angeles,Silver,Neutral
312,Female,43,Chicago,Bronze,Unsatisfied
313,Male,30,San Francisco,Gold,Satisfied
314,Male,27,Miami,Silver,Unsatisfied
315,Female,37,Houston,Bronze,Neutral
316,Female,31,New York,Gold,Satisfied
317,Male,35,Los Angeles,Silver,Neutral
318,Female,41,Chicago,Bronze,Unsatisfied
319,Male,28,San Francisco,Gold,Satisfied
320,Male,32,Miami,Silver,Unsatisfied
321,Female,36,Houston,Bronze,Neutral
322,Female,30,New York,Gold,Satisfied
323,Male,34,Los Angeles,Silver,Neutral
324,Female,43,Chicago,Bronze,Unsatisfied
325,Male,30,San Francisco,Gold,Satisfied
326,Male,27,Miami,Silver,Unsatisfied
327,Female,37,Houston,Bronze,Neutral
328,Female,31,New York,Gold,Satisfied
329,Male,35,Los Angeles,Silver,Neutral
330,Female,41,Chicago,Bronze,Unsatisfied
331,Male,28,San Francisco,Gold,Satisfied
332,Male,32,Miami,Silver,Unsatisfied
333,Female,36,Houston,Bronze,Neutral
334,Female,30,New York,Gold,Satisfied
335,Male,33,Los Angeles,Silver,Satisfied
336,Female,42,Chicago,Bronze,Unsatisfied
337,Male,29,San Francisco,Gold,Satisfied
338,Male,26,Miami,Silver,Unsatisfied
339,Female,38,Houston,Bronze,Neutral
340,Female,32,New York,Gold,Satisfied
341,Male,34,Los Angeles,Silver,Neutral
342,Female,43,Chicago,Bronze,Unsatisfied
343,Male,30,San Francisco,Gold,Satisfied
344,Male,27,Miami,Silver,Unsatisfied
345,Female,37,Houston,Bronze,Neutral
346,Female,31,New York,Gold,Satisfied
347,Male,35,Los Angeles,Silver,Neutral
348,Female,41,Chicago,Bronze,Unsatisfied
349,Male,28,San Francisco,Gold,Satisfied
350,Male,32,Miami,Silver,Unsatisfied
351,Female,36,Houston,Bronze,Neutral
352,Female,30,New York,Gold,Satisfied
353,Male,34,Los Angeles,Silver,Neutral
354,Female,43,Chicago,Bronze,Unsatisfied
355,Male,30,San Francisco,Gold,Satisfied
356,Male,27,Miami,Silver,Unsatisfied
357,Female,37,Houston,Bronze,Neutral
358,Female,31,New York,Gold,Satisfied
359,Male,35,Los Angeles,Silver,Neutral
360,Female,41,Chicago,Bronze,Unsatisfied
361,Male,28,San Francisco,Gold,Satisfied
362,Male,32,Miami,Silver,Unsatisfied
363,Female,36,Houston,Bronze,Neutral
364,Female,30,New York,Gold,Satisfied
365,Male,34,Los Angeles,Silver,Neutral
366,Female,43,Chicago,Bronze,Unsatisfied
367,Male,30,San Francisco,Gold,Satisfied
368,Male,27,Miami,Silver,Unsatisfied
369,Female,37,Houston,Bronze,Neutral
370,Female,31,New York,Gold,Satisfied
371,Male,35,Los Angeles,Silver,Neutral
372,Female,41,Chicago,Bronze,Unsatisfied
373,Male,28,San Francisco,Gold,Satisfied
374,Male,32,Miami,Silver,Unsatisfied
375,Female,36,Houston,Bronze,Neutral
376,Female,30,New York,Gold,Satisfied
377,Male,33,Los Angeles,Silver,Neutral
378,Female,43,Chicago,Bronze,Unsatisfied
379,Male,30,San Francisco,Gold,Satisfied
380,Male,27,Miami,Silver,Unsatisfied
381,Female,37,Houston,Bronze,Neutral
382,Female,31,New York,Gold,Satisfied
383,Male,35,Los Angeles,Silver,Neutral
384,Female,41,Chicago,Bronze,Unsatisfied
385,Male,28,San Francisco,Gold,Satisfied
386,Male,32,Miami,Silver,Unsatisfied
387,Female,36,Houston,Bronze,Neutral
388,Female,30,New York,Gold,Satisfied
389,Male,34,Los Angeles,Silver,Neutral
390,Female,43,Chicago,Bronze,Unsatisfied
391,Male,30,San Francisco,Gold,Satisfied
392,Male,27,Miami,Silver,Unsatisfied
393,Female,37,Houston,Bronze,Neutral
394,Female,31,New York,Gold,Satisfied
395,Male,35,Los Angeles,Silver,Neutral
396,Female,41,Chicago,Bronze,Unsatisfied
397,Male,28,San Francisco,Gold,Satisfied
398,Male,32,Miami,Silver,Unsatisfied
399,Female,36,Houston,Bronze,Neutral
400,Female,30,New York,Gold,Satisfied
401,Male,33,Los Angeles,Silver,Neutral
402,Female,43,Chicago,Bronze,Unsatisfied
403,Male,30,San Francisco,Gold,Satisfied
404,Male,27,Miami,Silver,Unsatisfied
405,Female,37,Houston,Bronze,Neutral
406,Female,31,New York,Gold,Satisfied
407,Male,35,Los Angeles,Silver,Neutral
408,Female,41,Chicago,Bronze,Unsatisfied
409,Male,28,San Francisco,Gold,Satisfied
410,Male,32,Miami,Silver,Unsatisfied
411,Female,36,Houston,Bronze,Neutral
412,Female,30,New York,Gold,Satisfied
413,Male,34,Los Angeles,Silver,Neutral
414,Female,43,Chicago,Bronze,Unsatisfied
415,Male,30,San Francisco,Gold,Satisfied
416,Male,27,Miami,Silver,Unsatisfied
417,Female,37,Houston,Bronze,Neutral
418,Female,31,New York,Gold,Satisfied
419,Male,35,Los Angeles,Silver,Neutral
420,Female,41,Chicago,Bronze,Unsatisfied
421,Male,28,San Francisco,Gold,Satisfied
422,Male,32,Miami,Silver,Unsatisfied
423,Female,36,Houston,Bronze,Neutral
424,Female,30,New York,Gold,Satisfied
425,Male,34,Los Angeles,Silver,Neutral
426,Female,43,Chicago,Bronze,Unsatisfied
427,Male,30,San Francisco,Gold,Satisfied
428,Male,27,Miami,Silver,Unsatisfied
429,Female,37,Houston,Bronze,Neutral
430,Female,31,New York,Gold,Satisfied
431,Male,35,Los Angeles,Silver,Neutral
432,Female,41,Chicago,Bronze,Unsatisfied
433,Male,28,San Francisco,Gold,Satisfied
434,Male,32,Miami,Silver,Unsatisfied
435,Female,36,Houston,Bronze,Neutral
436,Female,30,New York,Gold,Satisfied
437,Male,34,Los Angeles,Silver,Neutral
438,Female,43,Chicago,Bronze,Unsatisfied
439,Male,30,San Francisco,Gold,Satisfied
440,Male,27,Miami,Silver,Unsatisfied
441,Female,37,Houston,Bronze,Neutral
442,Female,31,New York,Gold,Satisfied
443,Male,35,Los Angeles,Silver,Neutral
444,Female,41,Chicago,Bronze,Unsatisfied
445,Male,28,San Francisco,Gold,Satisfied
446,Male,32,Miami,Silver,Unsatisfied
447,Female,36,Houston,Bronze,Neutral
448,Female,30,New York,Gold,Satisfied
449,Male,34,Los Angeles,Silver,Neutral
450,Female,43,Chicago,Bronze,Unsatisfied
