id,warehouse,mode,status,order_id
373,D,Ship,In Transit,13812
374,F,Ship,Delivered,18578
375,A,Ship,Delivered,11850
376,B,Ship,In Transit,15436
377,C,Ship,Delivered,8715
378,F,Ship,Pending,13916
379,D,Ship,Pending,6295
380,F,Ship,In Transit,13284
381,A,Ship,Returned,6076
382,B,Ship,In Transit,8719
383,C,Ship,Delivered,10952
384,F,Ship,Returned,15017
385,D,Road,Pending,8711
386,F,Road,Delivered,14356
387,A,Road,Delivered,893
388,B,Road,Delivered,4420
389,C,Road,Returned,5248
390,F,Road,In Transit,14137
391,D,Road,Pending,17836
392,F,Road,Returned,8943
393,A,Road,Pending,5480
394,B,Road,In Transit,6135
395,C,Road,Pending,6920
396,F,Road,Returned,2875
397,D,Road,Delivered,14066
398,F,Road,In Transit,17501
399,A,Road,Pending,11988
400,B,Road,Returned,16594
401,C,Road,Delivered,2301
402,F,Road,Pending,15446
403,D,Road,Returned,11167
404,F,Road,In Transit,18407
405,A,Road,Pending,18258
406,B,Road,In Transit,19346
407,C,Flight,Pending,16219
408,F,Flight,Pending,8793
409,D,Flight,Returned,4348
410,F,Flight,In Transit,14968
411,A,Flight,Pending,4587
412,B,Flight,Pending,13632
413,C,Flight,Delivered,10005
414,F,Flight,Delivered,6195
415,D,Flight,Returned,7074
416,F,Flight,Pending,1102
417,A,Flight,In Transit,17871
418,B,Flight,Returned,7308
419,C,Flight,In Transit,4778
420,F,Flight,In Transit,3687
421,D,Flight,Returned,11400
422,F,Flight,In Transit,8022
423,A,Flight,Pending,15712
424,B,Flight,In Transit,983
425,C,Flight,Returned,16581
426,F,Flight,Delivered,2146
427,D,Flight,In Transit,2204
428,F,Flight,Delivered,14092
429,A,Ship,Pending,19026
430,B,Ship,Returned,4428
431,C,Ship,Returned,8760
432,F,Ship,Pending,4496
433,D,Ship,Returned,13006
434,F,Ship,In Transit,16790
435,A,Ship,Delivered,11238
436,B,Ship,In Transit,6125
437,C,Ship,In Transit,4305
438,F,Ship,Pending,1138
439,D,Ship,In Transit,13923
440,F,Ship,In Transit,7713
441,A,Ship,In Transit,2813
442,B,Ship,Delivered,13323
443,C,Ship,Delivered,8865
444,F,Ship,Pending,13188
445,D,Ship,Returned,4957
446,F,Ship,In Transit,14020
447,A,Ship,Delivered,1774
448,B,Ship,In Transit,15197
449,C,Ship,In Transit,16151
450,F,Ship,In Transit,5720
451,D,Ship,Returned,2341
452,F,Ship,In Transit,17967
453,A,Ship,Delivered,16753
454,B,Ship,In Transit,1212
455,C,Ship,Returned,14850
456,F,Ship,Pending,15788
457,D,Ship,In Transit,19590
458,F,Ship,Returned,10810
459,A,Ship,In Transit,4505
460,B,Ship,Pending,7814
461,C,Ship,In Transit,12923
462,F,Ship,Returned,1118
463,D,Ship,Delivered,18764
464,F,Ship,Pending,16761
465,A,Ship,Returned,18248
466,B,Ship,Pending,19707
467,C,Ship,Returned,17606
468,F,Ship,Delivered,4281
469,D,Ship,Pending,19650
470,F,Ship,Delivered,3239
471,A,Ship,In Transit,13493
472,B,Ship,Pending,12728
473,C,Ship,Returned,7692
474,F,Ship,Returned,5065
475,D,Ship,In Transit,18581
476,F,Ship,Delivered,1720
477,A,Ship,Delivered,18342
478,B,Ship,Pending,3665
479,C,Ship,In Transit,19806
480,F,Ship,Returned,5828
481,D,Ship,Returned,2977
482,F,Ship,Delivered,15398
483,A,Ship,Delivered,10484
484,B,Ship,Pending,13594
485,C,Ship,Returned,2745
486,F,Ship,Delivered,11862
487,D,Ship,Returned,49
488,F,Ship,In Transit,9994
489,A,Ship,Delivered,10103
490,B,Ship,Returned,654
491,C,Ship,Returned,16374
492,F,Ship,In Transit,15211
493,D,Ship,Delivered,8565
494,F,Ship,In Transit,9713
495,A,Ship,Pending,62
496,B,Ship,Returned,3399
497,C,Ship,Returned,13939
498,F,Ship,Returned,12130
499,D,Ship,Delivered,9110
500,F,Ship,Delivered,416
501,A,Ship,Delivered,7493
502,B,Ship,In Transit,11092
503,C,Ship,Delivered,3662
504,F,Ship,Delivered,9929
505,D,Ship,Delivered,18788
506,F,Ship,Returned,18900
507,A,Ship,Returned,7650
508,B,Ship,Delivered,14547
509,C,Ship,In Transit,17634
510,F,Ship,Pending,501
511,D,Ship,Delivered,4041
512,F,Ship,Pending,14299
513,A,Ship,Delivered,15730
514,B,Ship,Returned,9792
515,C,Ship,In Transit,5378
516,F,Ship,Pending,6020
517,D,Ship,Delivered,13763
518,F,Ship,Returned,16010
519,A,Ship,In Transit,11997
520,B,Ship,In Transit,7622
521,C,Ship,Delivered,1140
522,F,Road,In Transit,9727
523,D,Road,In Transit,15734
524,F,Road,Returned,14489
525,A,Road,Returned,18882
526,B,Road,Returned,10784
527,C,Road,In Transit,13004
528,F,Road,Returned,2393
529,D,Road,In Transit,17105
530,F,Road,Pending,4233
531,A,Road,Pending,8544
532,B,Road,Pending,18653
533,C,Road,Delivered,6215
534,F,Road,Returned,7342
535,D,Road,Pending,4796
536,F,Road,Pending,16293
537,A,Road,Delivered,12883
538,B,Road,Delivered,13315
539,C,Road,Pending,6345
540,F,Road,Delivered,8472
541,D,Road,Pending,7386
542,F,Road,In Transit,14228
543,A,Road,Pending,2474
544,B,Flight,In Transit,17117
545,C,Flight,Returned,19724
546,F,Flight,Returned,19169
547,D,Flight,Delivered,15731
548,F,Flight,Returned,6642
549,A,Flight,In Transit,1013
550,B,Flight,In Transit,3455
551,C,Flight,Returned,8564
552,F,Flight,Delivered,1539
553,D,Flight,In Transit,19376
554,F,Flight,In Transit,18692
555,A,Flight,Returned,18593
556,B,Flight,In Transit,371
557,C,Flight,Returned,510
558,F,Flight,Delivered,18351
559,D,Flight,Pending,9680
560,F,Flight,Pending,10846
561,A,Flight,Returned,8125
562,B,Flight,Delivered,10115
563,C,Flight,Delivered,9640
564,F,Flight,In Transit,1284
565,D,Flight,Delivered,5667
566,F,Ship,Pending,13858
567,A,Ship,Returned,7486
568,B,Ship,In Transit,10319
569,C,Ship,In Transit,1334
570,F,Ship,Returned,8591
571,D,Ship,Pending,16036
572,F,Ship,In Transit,8470
573,A,Ship,In Transit,490
574,B,Ship,Pending,13308
575,C,Ship,Pending,2009
576,F,Ship,Delivered,18096
577,D,Ship,Pending,15092
578,F,Ship,Delivered,15646
579,A,Ship,Delivered,6949
580,B,Ship,Pending,6992
581,C,Ship,Delivered,11348
582,F,Ship,Pending,16712
583,D,Ship,Returned,19792
584,F,Ship,In Transit,4223
585,A,Ship,Delivered,7091
586,B,Ship,Delivered,2985
587,C,Ship,In Transit,15084
588,F,Ship,In Transit,12279
589,D,Ship,Delivered,9856
590,F,Ship,Returned,14877
591,A,Ship,In Transit,738
592,B,Ship,Returned,15298
593,C,Ship,Pending,5007
594,F,Ship,In Transit,14734
595,D,Ship,Returned,5046
596,F,Ship,Delivered,18053
597,A,Ship,In Transit,15969
598,B,Ship,Returned,10194
599,C,Ship,Returned,5822
600,F,Ship,Returned,14232
601,D,Ship,Pending,17754
602,F,Ship,In Transit,13784
603,A,Ship,Delivered,13535
604,B,Ship,Returned,9911
605,C,Ship,In Transit,6304
606,F,Ship,Returned,2196
607,D,Ship,Delivered,1613
608,F,Ship,Delivered,8060
609,A,Ship,Delivered,7472
610,B,Ship,Returned,12046
611,C,Ship,Returned,8643
612,F,Ship,Returned,6012
613,D,Ship,Delivered,6189
614,F,Ship,Delivered,196
615,A,Ship,Returned,444
616,B,Ship,Delivered,6978
617,C,Ship,Pending,15048
618,F,Ship,Delivered,12959
619,D,Ship,Returned,16853
620,F,Ship,Delivered,5217
621,A,Ship,Returned,10258
622,B,Ship,Returned,9908
623,C,Ship,Pending,1468
624,F,Ship,In Transit,7729
625,D,Ship,Delivered,3340
626,F,Ship,Delivered,4295
627,A,Ship,In Transit,10185
628,B,Ship,In Transit,15377
629,C,Ship,In Transit,12222
630,F,Ship,Returned,1696
631,D,Ship,Pending,10098
632,F,Ship,Pending,12429
633,A,Ship,Pending,2923
634,B,Ship,Pending,1349
635,C,Ship,Pending,14272
636,F,Ship,In Transit,11498
637,D,Ship,Pending,6053
638,F,Ship,Returned,11442
639,A,Ship,Delivered,12978
640,B,Ship,In Transit,1174
641,C,Ship,Pending,18311
642,F,Ship,Returned,7380
643,D,Ship,Pending,5198
644,F,Ship,Returned,172
645,A,Ship,Delivered,16473
646,B,Ship,In Transit,8831
647,C,Ship,Delivered,18447
648,F,Ship,In Transit,2477
649,D,Ship,Returned,18012
650,F,Ship,Pending,11374
651,A,Ship,In Transit,12444
652,B,Ship,Pending,17461
653,C,Ship,Returned,8109
654,F,Ship,Returned,19377
655,D,Ship,Pending,10488
656,F,Ship,Delivered,874
657,A,Ship,Pending,7789
658,B,Ship,In Transit,6479
659,C,Road,Delivered,11586
660,F,Road,Pending,6486
661,D,Road,In Transit,17207
662,F,Road,Returned,9366
663,A,Road,Pending,19082
664,B,Road,Returned,5721
665,C,Road,Delivered,15916
666,F,Road,Returned,17474
667,D,Road,Returned,15629
668,F,Road,Delivered,5576
669,A,Road,Returned,9094
670,B,Road,Pending,16171
671,C,Road,Returned,6593
672,F,Road,Delivered,6272
673,D,Road,Delivered,2750
674,F,Road,Returned,15555
675,A,Road,Pending,6935
676,B,Road,Returned,19728
677,C,Road,Delivered,4661
678,F,Road,Pending,7486
679,D,Road,In Transit,2318
680,F,Road,Delivered,12455
681,A,Flight,In Transit,14676
682,B,Flight,Delivered,11321
683,C,Flight,Delivered,1494
684,F,Flight,In Transit,15631
685,D,Flight,Pending,13980
686,F,Flight,Pending,11149
687,A,Flight,Delivered,17949
688,B,Flight,Returned,4129
689,C,Flight,Pending,19252
690,F,Flight,Pending,12627
691,D,Flight,Returned,4453
692,F,Flight,Returned,7389
693,A,Flight,Pending,1009
694,B,Flight,Pending,15578
695,C,Flight,Delivered,350
696,F,Flight,Pending,9492
697,D,Flight,In Transit,12728
698,F,Flight,In Transit,8987
699,A,Flight,Delivered,1103
700,B,Flight,Pending,4597
701,C,Flight,Pending,10934
702,F,Flight,Delivered,3884
703,D,Ship,Delivered,4887
704,F,Ship,Pending,656
705,A,Ship,Returned,19008
706,B,Ship,In Transit,5303
707,C,Ship,Delivered,13641
708,F,Ship,Returned,2639
709,D,Ship,Pending,9318
710,F,Ship,Returned,16227
711,A,Ship,Pending,14406
712,B,Ship,Pending,6461
713,C,Ship,Pending,11091
714,F,Ship,Returned,15949
715,D,Ship,In Transit,5313
716,F,Ship,Returned,6236
717,A,Ship,In Transit,3837
718,B,Ship,Pending,18756
719,C,Ship,In Transit,5487
720,F,Ship,Returned,7667
721,D,Ship,Returned,12075
722,F,Ship,In Transit,10289
723,A,Ship,Returned,14891
724,B,Ship,Delivered,17038
725,C,Ship,Delivered,6804
726,F,Ship,Pending,17518
727,D,Ship,Returned,18544
728,F,Ship,Delivered,9979
729,A,Ship,Pending,19387
730,B,Ship,Returned,6099
731,C,Ship,Pending,6699
732,F,Ship,In Transit,4727
733,D,Ship,Pending,18283
734,F,Ship,In Transit,3500
735,A,Ship,Delivered,16118
736,B,Ship,Delivered,5277
737,C,Ship,Pending,2755
738,F,Ship,Pending,4396
739,D,Ship,Delivered,502
740,F,Ship,Pending,16259
741,A,Ship,Pending,12861
742,B,Ship,Pending,8212
743,C,Ship,Pending,16513
744,F,Ship,Returned,17533
745,D,Ship,Pending,15808
746,F,Ship,Pending,15931
747,A,Ship,Returned,17815
748,B,Ship,Returned,16865
749,C,Ship,Returned,4230
750,F,Ship,Pending,8880
751,D,Ship,In Transit,5334
752,F,Ship,Pending,6940
753,A,Ship,In Transit,16182
754,B,Ship,Returned,8122
755,C,Ship,In Transit,2550
756,F,Ship,Delivered,19467
757,D,Ship,In Transit,7436
758,F,Ship,Pending,17168
759,A,Ship,In Transit,703
760,B,Ship,Pending,4652
761,C,Ship,Pending,11813
762,F,Ship,Pending,5854
763,D,Ship,In Transit,3126
764,F,Ship,Delivered,14538
765,A,Ship,In Transit,1910
766,B,Ship,Pending,14634
767,C,Ship,Delivered,2356
768,F,Ship,Returned,333
769,D,Ship,Delivered,15311
770,F,Ship,Pending,8643
771,A,Ship,Returned,4594
772,B,Ship,In Transit,2777
773,C,Ship,Delivered,2803
774,F,Ship,Delivered,9576
775,D,Ship,Returned,11483
776,F,Ship,Returned,18821
777,A,Ship,In Transit,3111
778,B,Ship,Returned,18285
779,C,Ship,Delivered,19181
780,F,Ship,Delivered,17855
781,D,Ship,Delivered,19287
782,F,Ship,Pending,13601
783,A,Ship,In Transit,14693
784,B,Ship,Returned,7401
785,C,Ship,Returned,4108
786,F,Ship,Pending,3337
787,D,Ship,Pending,9706
788,F,Ship,Returned,996
789,A,Ship,Returned,12335
790,B,Ship,In Transit,11493
791,C,Ship,Delivered,1616
792,F,Ship,Delivered,3449
793,D,Ship,Pending,7865
794,F,Ship,Pending,10435
795,A,Ship,In Transit,14536
796,B,Road,Pending,2339
797,C,Road,In Transit,16957
798,F,Road,Returned,17423
799,D,Road,Returned,19485
800,F,Road,Delivered,6083
801,A,Road,Pending,947
802,B,Road,In Transit,3351
803,C,Road,Pending,14188
804,F,Road,Returned,17888
805,D,Road,In Transit,16047
806,F,Road,In Transit,12441
807,A,Road,Delivered,15098
808,B,Road,Pending,8849
809,C,Road,In Transit,10429
810,F,Road,Delivered,17968
811,D,Road,Returned,15939
812,F,Road,Pending,1334
813,A,Road,In Transit,5127
814,B,Road,Delivered,4629
815,C,Road,In Transit,6296
816,F,Road,Pending,4463
817,D,Road,Delivered,2510
818,F,Flight,Returned,12694
819,A,Flight,Pending,14410
820,B,Flight,Returned,653
821,C,Flight,In Transit,8688
822,F,Flight,Pending,5946
823,D,Flight,In Transit,3751
824,F,Flight,Delivered,1929
825,A,Flight,In Transit,10165
826,B,Flight,In Transit,9501
827,C,Flight,Pending,12836
828,F,Flight,In Transit,6250
829,D,Flight,In Transit,11847
830,F,Flight,Pending,1933
831,A,Flight,Pending,4828
832,B,Flight,Delivered,10368
833,C,Flight,Pending,3522
834,F,Flight,Delivered,371
835,D,Flight,Pending,19755
836,F,Flight,Returned,4869
837,A,Flight,Returned,4714
838,B,Flight,Delivered,855
839,C,Flight,Delivered,7230
840,F,Ship,In Transit,248
841,D,Ship,Returned,16743
842,F,Ship,In Transit,1608
843,A,Ship,Returned,4028
844,B,Ship,Delivered,13491
845,C,Ship,Delivered,16846
846,F,Ship,Pending,12136
847,D,Ship,Pending,14516
848,F,Ship,Delivered,5079
849,A,Ship,In Transit,3902
850,B,Ship,Delivered,3420
851,C,Ship,Delivered,5806
852,F,Ship,In Transit,12336
853,D,Ship,In Transit,17378
854,F,Ship,Pending,16200
855,A,Ship,Delivered,5966
856,B,Ship,Pending,10026
857,C,Ship,Delivered,1730
858,F,Ship,Returned,1494
859,D,Ship,In Transit,2329
860,F,Ship,In Transit,1324
861,A,Ship,In Transit,14601
862,B,Ship,In Transit,3321
863,C,Ship,Delivered,18689
864,F,Ship,Pending,9199
865,D,Ship,In Transit,981
866,F,Ship,Delivered,16607
867,A,Ship,Delivered,12066
868,B,Ship,Returned,15095
869,C,Ship,Delivered,17806
870,F,Ship,Delivered,19263
871,D,Ship,In Transit,17346
872,F,Ship,Returned,19971
873,A,Ship,In Transit,14834
874,B,Ship,Pending,10268
875,C,Ship,Returned,1553
876,F,Ship,Delivered,15839
877,D,Ship,Pending,2435
878,F,Ship,Delivered,13032
879,A,Ship,Delivered,11906
880,B,Ship,Delivered,1394
881,C,Ship,In Transit,15565
882,F,Ship,Delivered,14116
883,D,Ship,In Transit,9144
884,F,Ship,Delivered,6154
885,A,Ship,Pending,7535
886,B,Ship,In Transit,18082
887,C,Ship,In Transit,19650
888,F,Ship,Returned,19024
889,D,Ship,Pending,9028
890,F,Ship,Returned,19775
891,A,Ship,In Transit,5485
892,B,Ship,Pending,18617
893,C,Ship,In Transit,5349
894,F,Ship,In Transit,1589
895,D,Ship,In Transit,14136
896,F,Ship,Pending,4142
897,A,Ship,Delivered,18781
898,B,Ship,In Transit,11825
899,C,Ship,Delivered,17304
900,F,Ship,In Transit,10289
901,D,Ship,Delivered,14220
902,F,Ship,Delivered,12001
903,A,Ship,Returned,17866
904,B,Ship,In Transit,8328
905,C,Ship,Delivered,3020
906,F,Ship,In Transit,4953
907,D,Ship,Returned,13862
908,F,Ship,Returned,4123
909,A,Ship,In Transit,3696
910,B,Ship,Returned,13688
911,C,Ship,Returned,7871
912,F,Ship,Delivered,12974
